"Country","Continent","Total_Cases","Total_Deaths","Population","Total_Tests"
"USA","North America",111820082,1219487,334805269,1186851502
"India","Asia",45035393,533570,1406631776,935879495
"France","Europe",40138560,167642,65584518,271490188
"Germany","Europe",38828995,183027,83883596,122332384
"Brazil","South America",38743918,711380,215353593,63776166
"South Korea","Asia",34571873,35934,51329899,15804065
"Japan","Asia",33803572,74694,125584838,100414883
"Italy","Europe",26723249,196487,60262770,281126449
"UK","Europe",24910387,232112,68497907,522526476
"Russia","Europe",24124215,402756,145805947,273400000
"Turkey","Asia",17232066,102174,85561976,162743369
"Spain","Europe",13914811,121760,46719142,471036328
"Australia","Oceania",11853144,24414,26068792,81916639
"Vietnam","Asia",11625195,43206,98953541,NA
"Taiwan","Asia",10241523,19005,23888595,NA
"Argentina","South America",10128845,130841,46010234,35716069
"Netherlands","Europe",8635786,22992,17211447,NA
"Mexico","North America",7702809,334958,131562772,20013810
"Iran","Asia",7627186,146811,86022837,NA
"Indonesia","Asia",6829221,162063,279134505,114158919
"China","Asia",503302,5272,1448471400,1.6e+08
